s,p,o
http://iiitd.ac.in/course/sweb/student/2019440/reason,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/impactOn,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://iiitd.ac.in/course/sweb/student/2019440/intensity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
_:node9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Container
_:node9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag
_:node10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Container
_:node10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Bag
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#domain
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#range
http://www.w3.org/2002/07/owl#equivalentProperty,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subClassOf
http://proton.semanticweb.org/protonsys#transitiveOver,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://proton.semanticweb.org/protonsys#transitiveOver
http://www.w3.org/2002/07/owl#inverseOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#inverseOf
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2000/01/rdf-schema#seeAlso
http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#_1
http://iiitd.ac.in/course/sweb/student/2019440/alternateName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternateName
http://iiitd.ac.in/course/sweb/student/2019440/alternateName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternates
http://iiitd.ac.in/course/sweb/student/2019440/alternates,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternates
http://iiitd.ac.in/course/sweb/student/2019440/alternateSpelling,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternates
http://iiitd.ac.in/course/sweb/student/2019440/alternateSpelling,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/alternateSpelling
http://iiitd.ac.in/course/sweb/student/2019440/bodyStyleProduced,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/bodyStyleProduced
http://iiitd.ac.in/course/sweb/student/2019440/bodyStyleProduced,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/production
http://iiitd.ac.in/course/sweb/student/2019440/production,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/production
http://iiitd.ac.in/course/sweb/student/2019440/business,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/business
http://iiitd.ac.in/course/sweb/student/2019440/city,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/city
http://iiitd.ac.in/course/sweb/student/2019440/country,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/country
http://iiitd.ac.in/course/sweb/student/2019440/countryOfOrigin,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://iiitd.ac.in/course/sweb/student/2019440/countryOfOrigin
