 "s" , "p" , "o" ,  ,  ,  ,
 "EX:sales" , "rdfs:range" , "EX:Information" ,  ,  ,  ,
 "EX:startYear" , "rdfs:range" , "xsd:gYear" ,  ,  ,  ,
 "EX:tillYear" , "rdfs:range" , "xsd:gYear" ,  ,  ,  ,
 "EX:unitsSold" , "rdfs:range" , "xsd:nonNegativeInteger" ,  ,  ,  ,
 "EX:whereSold" , "rdfs:range" , "EX:Place" ,  ,  ,  ,
 "rdf:type" , "http://proton.semanticweb.org/protonsys#transitiveOver" , "rdfs:subClassOf" ,  ,  ,  ,
 "rdfs:subPropertyOf" , "http://proton.semanticweb.org/protonsys#transitiveOver" , "rdfs:subPropertyOf" ,  ,  ,  ,
 "rdfs:subClassOf" , "http://proton.semanticweb.org/protonsys#transitiveOver" , "rdfs:subClassOf" ,  ,  ,  ,
 "owl:equivalentProperty" , "http://proton.semanticweb.org/protonsys#transitiveOver" , "owl:equivalentProperty" ,  ,  ,  ,
 "owl:equivalentClass" , "http://proton.semanticweb.org/protonsys#transitiveOver" , "owl:equivalentClass" ,  ,  ,  ,
 "owl:equivalentProperty" , "owl:inverseOf" , "owl:equivalentProperty" ,  ,  ,  ,
 "owl:equivalentClass" , "owl:inverseOf" , "owl:equivalentClass" ,  ,  ,  ,
 "owl:inverseOf" , "owl:inverseOf" , "owl:inverseOf" ,  ,  ,  ,
 "owl:differentFrom" , "owl:inverseOf" , "owl:differentFrom" ,  ,  ,  ,
 "node11" , "rdf:first" , "EX:North_America" ,  ,  ,  ,
 "node12" , "rdf:first" , "EX:Japan" ,  ,  ,  ,
 "node13" , "rdf:first" , "EX:Asia" ,  ,  ,  ,
 "node11" , "rdf:rest" , "node12" ,  ,  ,  ,
 "node12" , "rdf:rest" , "node13" ,  ,  ,  ,
 "node13" , "rdf:rest" , "rdf:nil" ,  ,  ,  ,
 "node1" , "rdf:_1" , "Hardtop" ,  ,  ,  ,
 "node9" , "rdf:_1" , "EX:Ford" ,  ,  ,  ,
 "node10" , "rdf:_1" , "EX:SUV" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:alternateName" , "Toyota Rando-Kurūzā" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:alternateName" , "Toyota Land Cruiser" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:alternates" , "Toyota Rando-Kurūzā" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:alternates" , "Toyota Land Cruiser" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:alternates" , "Land Cruiser" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:alternates" , "LandCruiser" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:alternateSpelling" , "Land Cruiser" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:alternateSpelling" , "LandCruiser" ,  ,  ,  ,
 "EX:Land_Cruiser" , "EX:bodyStyleProduced" , "node1" ,  ,  ,  ,
